flip_type,rho,seed,date,n_flipped,ex_post,SI,vol,failed
sign,0,-1,2024-01-09,0,2946.4462890625,-42.75153350830078,636.2939453125,0
sign,0,-1,2024-01-30,0,1798.275390625,-19.147258758544922,552.9324340820312,0
sign,0,-1,2024-02-06,0,3277.761962890625,-18.499614715576172,198.71705627441406,0
sign,0,-1,2024-02-14,0,1537.7283935546875,-3.2994134426116943,369.9275207519531,0
sign,0,-1,2024-03-23,0,2022.798828125,-0.07226866483688354,0.0,0
sign,0,-1,2024-04-09,0,2004.46337890625,-15.502836227416992,171.71636962890625,0
sign,0,-1,2024-04-24,0,3301.53173828125,-39.54417037963867,0.0,0
sign,0,-1,2024-06-16,0,4064.6923828125,71.14838409423828,0.0,0
sign,0,-1,2024-07-04,0,3604.387451171875,158.7518768310547,0.0,0
sign,0,-1,2024-07-09,0,4393.84130859375,-11.001996040344238,0.0,0
sign,0,-1,2024-07-19,0,3796.716064453125,-35.01692199707031,0.0,0
sign,0,-1,2024-08-03,0,3511.012451171875,-32.57785415649414,0.0,0
sign,0,-1,2024-08-05,0,5385.55712890625,-15.68202018737793,0.0,0
sign,0,-1,2024-08-09,0,4810.5185546875,0.0013683140277862549,0.0,0
sign,0,-1,2024-08-15,0,5043.619140625,-22.54229164123535,0.0,0
sign,0,-1,2024-10-05,0,3643.046630859375,-63.83710861206055,492.212158203125,0
sign,0,-1,2024-10-21,0,5321.5830078125,-10.093414306640625,314.8144836425781,0
sign,0,-1,2024-11-21,0,3900.714599609375,-73.62731170654297,761.7077026367188,0
sign,0,-1,2024-12-13,0,8077.92333984375,-153.48501586914062,606.42236328125,0
sign,1,0,2024-01-09,1,2824.69189453125,-11.600042343139648,412.38983154296875,0
sign,1,0,2024-01-30,1,1752.2470703125,0.0,410.95465087890625,0
sign,1,0,2024-02-06,1,3221.9677734375,-13.719559669494629,158.31826782226562,0
sign,1,0,2024-02-14,1,1567.288330078125,-4.621407508850098,301.28680419921875,0
sign,1,0,2024-03-23,1,1992.885986328125,0.7301325798034668,0.0,0
sign,1,0,2024-04-09,1,1976.64794921875,-6.891719818115234,123.88970184326172,0
sign,1,0,2024-04-24,1,3168.31396484375,-24.281436920166016,0.0,0
sign,1,0,2024-06-16,1,nan,nan,nan,1
sign,1,0,2024-07-04,1,3577.052734375,158.60546875,0.0,0
sign,1,0,2024-07-09,1,4158.90625,-5.3192243576049805,0.0,0
sign,1,0,2024-07-19,1,3650.808349609375,-31.09071922302246,0.0,0
sign,1,0,2024-08-03,1,3440.3349609375,-21.86672592163086,0.0,0
sign,1,0,2024-08-05,1,nan,nan,nan,1
sign,1,0,2024-08-09,1,4657.8115234375,-6.42282772064209,0.0,0
sign,1,0,2024-08-15,1,4874.9033203125,-12.994477272033691,0.0,0
sign,1,0,2024-10-05,1,3603.351806640625,-46.23573303222656,445.59405517578125,0
sign,1,0,2024-10-21,1,5267.75390625,-8.44856071472168,277.7427978515625,0
sign,1,0,2024-11-21,1,3879.44921875,-37.417816162109375,500.7835998535156,0
sign,1,0,2024-12-13,1,7964.9384765625,-103.74613189697266,262.0390625,0
sign,2,0,2024-01-09,2,2739.411376953125,0.0,197.4656524658203,0
sign,2,0,2024-01-30,2,1761.911865234375,0.0,274.9129943847656,0
sign,2,0,2024-02-06,2,3197.189208984375,-13.715816497802734,34.70481491088867,0
sign,2,0,2024-02-14,2,1530.3729248046875,0.0,167.09715270996094,0
sign,2,0,2024-03-23,2,1935.104736328125,0.6139950752258301,0.0,0
sign,2,0,2024-04-09,2,1880.31884765625,-1.9709826707839966,76.96380615234375,0
sign,2,0,2024-04-24,2,3022.97216796875,-13.347902297973633,0.0,0
sign,2,0,2024-06-16,2,nan,nan,nan,1
sign,2,0,2024-07-04,2,nan,nan,nan,1
sign,2,0,2024-07-09,2,nan,nan,nan,1
sign,2,0,2024-07-19,2,3442.63623046875,-25.965465545654297,0.0,0
sign,2,0,2024-08-03,2,3316.3291015625,-16.661165237426758,0.0,0
sign,2,0,2024-08-05,2,nan,nan,nan,1
sign,2,0,2024-08-09,2,nan,nan,nan,1
